pmid,ref_list
6571704,"['271968', '6159641', '6985483', '6185919', '6573677', '6575390', '6308667']"
223612,['5780700']
1847316,"['3404526', '3668915']"
6256764,['1105573']
6279697,"['1105573', '6256764']"
4148752,"['5664234', '5664235', '5499743', '4148753']"
1105573,['4610576']
360212,['333431']
388356,['360212']
390497,"['704357', '274720', '270684', '19730']"
19730,['781674']
10793753,"['4343959', '4349491', '4343967']"
6191328,"['1105573', '271968', '345245', '282616', '291033', '6159641', '6273878', '6812046', '6183277', '6754749', '6961411']"
3945551,"['6273878', '6191328', '6641717', '6328421', '6374657', '6097598', '2582358', '3889848']"
3003749,"['6091052', '3889842']"
3004048,"['6256764', '6273878', '6754749', '6344792', '6191328', '6374657', '6092433', '3980693']"
3005635,"['19730', '2997728', '6207485']"
6325487,['6840847']
6371049,"['6761360', '6352495', '6352496', '6361057']"
6427769,"['388356', '6256762', '6269067', '6272317', '6960359', '6866765']"
6374657,"['6641717', '291033', '6247908', '6259625', '6273878', '6282118', '6292836', '6304630', '6191328']"
3711299,"['158748', '6998963', '7232206', '3988703', '4030087']"
6097598,"['6259625', '6283172', '6283173', '6306648', '6308672', '6350355', '6194174']"
2982911,"['6178693', '6194174', '6088574']"
2984244,"['6256764', '6286998']"
2582358,"['6273878', '6812046', '6183277', '6754749', '6961411', '6191328', '6641717', '6328421']"
4000941,"['345243', '204910', '6273878', '6961411', '6191328', '6622259', '2582352']"
3748805,"['6264484', '6273878', '6812046', '6757867', '6191328', '6622259', '6366740', '6328421', '6374657', '2582358', '4000941', '4000959', '3889848', '4011448', '4059056', '3945551', '2939103']"
3531233,"['388356', '6752026', '6392327', '3002985']"
3021812,"['2999787', '291033', '6264114', '6273878', '6283173', '6306648', '6191328', '6330697', '2985801', '2997269', '2999435']"
3533986,"['6343243', '6350346', '6352491', '6376355', '6540277', '6381522', '3880723', '3882570', '3905848']"
3771764,"['6328032', '6328421', '3973975', '2999189', '388356']"
3027670,"['204910', '6273878', '4000941', '6641717', '6328421', '6374657', '2582352', '2582358', '6191328']"
158748,['410021']
291033,"['281713', '274714', '218170', '414220', '1105573']"
6273878,"['345243', '204910', '789912']"
7107852,"['357286', '383697', '6998963', '7017718', '7251142']"
6960359,"['6930643', '6256762']"
6761360,"['383697', '6998963', '7251142']"
2420820,['3980693']
3958151,['7107852']
2422199,['3980693']
6639017,"['6344792', '388356', '7016033', '6273385', '7107846', '6403468']"
6360046,"['1105573', '6256764', '6960359']"
3013925,"['6279697', '6325492']"
6088570,['7107852']
6392327,"['6752026', '6761360']"
3033014,"['6258018', '6191328', '6273878']"
2439535,"['2422199', '2420820']"
3112180,"['3700617', '6833179', '6541662']"
3305559,"['388356', '6341230', '6352491', '6328421', '6540277', '357286', '383697', '3748805', '3539983']"
2821066,"['2997728', '3005635']"
2997269,"['6304336', '6191328']"
2933635,"['3902895', '198749', '291033', '6254016', '6159641', '6273878', '6812046', '6183277', '6961411', '6191328', '6641717', '6328421', '6374657', '2582352', '2582358', '3889848']"
3001134,"['291033', '6995426', '7012838', '6408005', '6639017', '6360046', '6392327']"
6326095,"['6314334', '414220', '6158735', '6159641', '6795624', '6801653', '7071022', '6190136', '6191328']"
3684574,"['6091052', '3459146', '3031593', '3031606', '6371808']"
3903658,"['7443532', '6264429', '6292465', '6574450', '6251266']"
3010240,"['388356', '6574450', '6091052', '3903658']"
3601674,"['3562247', '1105573', '6185921', '6622259', '4000941', '2426657', '3748808']"
3601675,"['158748', '388356', '7232206', '6328421', '291033']"
333444,"['1069307', '4600264', '4610576', '4216019', '4594039', '4530273', '1090574']"
6287021,"['6158735', '6287022']"
6287022,['6287021']
6300836,"['388356', '6154930', '6159641', '7029468']"
6328048,"['271968', '6253883', '6259625', '6164798', '7301588', '6287021', '6296764', '6300836', '6304692', '6193288', '6312090']"
6088807,"['7301588', '6296764', '6961439', '6300836', '6306269', '6310157', '6312090', '6312421']"
6088808,"['7301588', '6296764', '6300836', '6304629', '6304692', '6308556']"
2822759,"['3018280', '3023706', '2433467', '6310601', '6325492', '6091052', '2983123', '2999190', '3022645']"
6322125,"['6166921', '7301588', '6287021', '6294322', '6296764', '6961439', '6300836', '6304629', '6304692', '6308556', '6310521', '6312090', '283395']"
2984684,"['284385', '7022155', '6272282', '6801656', '6310601', '6641721', '6324136', '6726891', '6089122', '6207485']"
2997728,"['6316273', '19730', '388356', '230501', '7008030', '6272282', '7312622', '6292836', '6694902', '6321771', '6328426', '6330698', '6208380', '2993868', '6621535']"
3700633,"['291033', '3889842']"
3013928,"['6097598', '2984244', '6091052']"
3524455,"['11894957', '3890739', '6302077', '6324204']"
3022645,"['2999190', '6256764', '6310601', '6325492', '6097599']"
3038016,"['3022645', '6183443']"
13664869,"['13641571', '13641572']"
7159068,['7447405']
7447405,['4327583']
3023945,"['6302312', '73185', '414220', '206891', '225559', '91164', '388356', '3023946', '6100966', '9279398', '390497', '6159641', '7301588', '6946474', '6950381', '6951161', '6281465', '7086954']"
3023946,"['9279398', '206891', '390497', '6270376', '7301588', '6694911', '6328442', '6092936', '6096850', '3023945', '6100966']"
3029432,"['14582204', '6954488', '6088805', '2984214', '2985814', '2986132', '2991572', '3932972', '3018486']"
3033330,"['3021972', '59925', '274713', '215997', '224211', '6245254', '7433112', '6166921', '7301588', '6324136', '2997728']"
3582359,"['6159641', '6946474', '6950381', '6278479', '6951161', '6281465', '7086954', '6296443', '6131378', '6298741', '6188107', '6302312', '6855772', '6308636', '6201722', '6328442', '6493227', '6092936', '2983309', '2410262', '4040603', '3009888', '3486414', '3458245', '3023945', '3023946', '9279387']"
3035560,"['3031587', '6284987', '6287457', '6321771', '6371808', '3010307', '3021972', '3023656', '3467351']"
6245254,['215997']
7301588,"['6935652', '6450418', '6261017', '7012793', '7232211', '418414', '215997', '6244566', '6262722', '6262733', '6985479', '6264130', '6264425', '6941270', '6265915', '6265927', '6253880', '7433108', '6254069']"
6283138,"['6158042', '6267593', '6272282', '6283126']"
6954488,"['6251263', '6264121', '6264143']"
6324120,"['6245254', '6247501', '6257918', '6267593', '6272282', '6294604', '6298715', '6316275']"
2987843,"['1105573', '271968', '229465', '6272282', '6278413', '6287457', '6310508', '6726891', '6093056']"
3010307,"['6323749', '6371808', '6330698', '6549293', '2997483']"
14582204,"['6264121', '6283140', '6954488']"
6091052,"['19730', '390497', '6933441', '6777776', '6577417', '6583695', '6326095']"
3009852,"['2983090', '229465', '6272282', '6284987', '6183443', '6308670', '6310508', '6310545', '6324200', '6726891', '6330698', '6093054']"
3009888,"['270678', '228065', '6159641', '6268840', '6268841', '6270386', '6945577', '7050911', '6133960', '6091052', '3882996', '2989560']"
3031587,"['73185', '215997', '7022155', '6267593', '6283117', '6284987', '6287457', '6321771', '6323749', '6330698', '6091052', '3010307']"
2845152,"['6251263', '2845133', '6726891', '2985827', '2986132', '2987518', '3009894', '3018486', '3029432', '3037110', '3039165', '3041041']"
6287457,"['229266', '91164', '6267593', '6272282', '6283117', '6283126', '6283138', '414220', '215997', '224211']"
6384934,"['6247501', '6272282', '6283117', '6283138', '6284987', '6287457', '6294604', '6310508', '6310545', '6641721', '6321771', '6324120', '6324136', '6726891']"
2983312,"['1105573', '271968', '6272282', '6324120', '6324136', '6726891', '6384934', '6208380', '7301588']"
2985827,"['6954488', '6287000', '6726891', '6088805']"
2985829,"['6251263', '6287000', '2985827']"
2986132,"['6283140', '6287457', '6726891', '6088805']"
2987518,"['287063', '6245254', '6259625', '7301588', '6283162', '6287457', '6294604', '6298715', '6316275', '6323757', '6324120', '6324136', '6726891']"
2991572,"['6954488', '6088805', '2985814', '6287457']"
3895223,"['229266', '6935652', '6941270', '6287227']"
3009894,"['6726891', '6287457', '6316275', '6324120', '6089122', '6091052', '2985827', '2987518']"
3018486,"['2986132', '2985829', '225559', '6251263', '7017722', '6272282', '6954488', '6324136', '6093056', '2985814', '2985827', '2991572']"
3023668,"['271968', '6324120', '6324136', '2983312']"
3023706,"['6272282', '6801656', '6283117', '6287457', '6310545', '6310601', '6694911', '6324136', '6324200', '6089122', '6207485', '6093056', '2983312', '2984684', '2985793', '2986127', '2987843', '3003384', '3003395', '3018280', '6986610']"
3033278,"['1105573', '271968', '229266', '6272282', '6283117', '6546423', '6324120', '6324136', '6726891', '6089122', '6093056', '2983312', '2986127', '2410905']"
3037110,"['6088805', '2985814', '2986132', '2991572', '6283140', '14582204', '6323749']"
3039164,"['2985829', '6264121', '6283140', '6088805', '3018486', '3039165', '2984214', '2985814', '2985827']"
3041041,"['1105573', '229266', '6287457', '6316275', '6321771', '6323757', '6324120', '6324136', '6371808', '6726891', '6089122', '6091052', '2987518', '3009894', '3021972', '3467351', '3035560']"
13641571,['13641572']
13641572,['13641571']
13715282,"['13641572', '13664869']"
13715283,"['13641571', '13641572', '13664869']"
229266,"['224211', '215997']"
6986610,['418414']
6158042,"['59925', '271968', '81487', '287063', '228265', '6253931']"
6255181,"['215997', '224211', '229266']"
6251263,['215997']
6264121,['6251263']
6168777,['6251263']
6283140,['6264121']
7420540,['6245254']
6267593,"['224211', '6158042', '6255181', '271968', '229266']"
6283126,"['7022155', '6267593']"
81487,['271968']
229465,['215997']
231762,['81487']
6275128,['224211']
6281483,"['271968', '81487', '229266']"
6283117,"['215997', '224211', '229266', '6255181']"
6294604,"['1105573', '6247501', '6267593', '6272282']"
6316275,"['6245254', '6287457', '6294604', '6298715']"
6546423,['6801656']
6185960,"['271968', '6164798']"
6298739,"['6259625', '6166921', '6272197', '6272282', '6273836', '6287227', '6287457', '6310545', '1105573', '787937', '271968']"
6310545,"['6260985', '7301588', '6272282', '6273836', '6284987']"
59925,"['1058473', '4594039', '4600264', '4610576']"
209457,['73185']
225559,"['73185', '206891', '414220']"
6262784,"['6933441', '6264425']"
6166921,"['787929', '414220', '284385', '390497', '6934509']"
6272197,['358198']
6188863,"['6283126', '6284987', '6183443']"
6329703,['388356']
7017722,"['414220', '225559', '291033']"
6269069,"['333444', '271968', '6259625']"
2983090,"['6330698', '6272282', '6287457', '6183443', '6308670', '6310545']"
6321771,"['6283138', '6287457', '6310545', '215997', '6255181', '6267593', '6272282', '6283126']"
6093056,"['1105573', '271968', '229465', '6272282', '6298739', '6310508', '6324120', '6324136', '6324200', '6726891']"
6089122,"['6324136', '6245254', '6287457', '6294604', '6316275', '6324120']"
2985793,"['6272282', '6287227', '6310601', '6316275', '6208377', '271968', '81487', '6159641', '6259625']"
3003739,"['225559', '388356', '7017722', '6272282', '6298741', '6726891', '6330698', '3018486']"
6088796,"['6325492', '6159641', '6166921', '6272282', '6273836', '6310545']"
3005620,"['6093054', '6093056', '2983090', '225559', '7022155', '6298739', '6310508', '6330698']"
6088805,"['6264121', '6283140', '6954488']"
3021972,"['224211', '229266', '6245254', '6275128', '6283117', '6287457', '6296450', '6324136', '6726891', '6384934']"
6298741,['6278479']
3023656,"['7017722', '7022155', '6283162', '6384934', '6093056', '2410905', '3003395', '3003739', '3018486']"
2983309,"['291033', '6159641', '6278479', '6960240', '6131378', '6298741', '6201722']"
3926482,"['271968', '6159641']"
2410262,"['390497', '6960240', '6201722']"
3460065,['6201722']
3837182,"['390497', '6938980', '6190133']"
3023965,"['6269091', '6960240']"
2436038,"['2410262', '3460065', '6960240', '6201722', '2983309']"
3582371,"['6201722', '2983309', '2410262']"
3035545,"['6281461', '6098465', '2998773', '3023918']"
3600637,"['3486414', '6159641', '6278479', '6131378', '6298741', '6201722', '2983309', '2410262']"
3437893,"['73185', '206891', '6159641']"
2832737,"['6289325', '3926482']"
3352609,"['271968', '6091052']"
2835666,"['271968', '6621535']"
3136013,['3926482']
6960240,"['6933441', '6262784', '7017722', '6946474', '6281760']"
6201722,"['6253880', '6933441', '390497']"
6371808,['1069307']
3865188,"['271968', '7335496', '6316273', '6328426']"
2839704,"['3005620', '3009852', '3033275', '6272282', '6310508', '6310545', '6324200', '6330698', '2983090', '3003384']"
2536107,"['3006071', '3033275', '3035560', '3474623', '2835660', '2836612', '2839722', '225559', '6260985', '6272282', '6284987', '6324120', '6324136', '6330698', '6089122', '6093056', '2983312', '2984684', '2985793', '2986127', '2987843', '271968', '3010307']"
2536821,"['271968', '6287457', '6310545', '6330698', '2983090', '3003384', '3003739', '3005620', '3006071', '3009852', '3018486', '3033275', '2839690', '2839704']"
2536835,"['3033275', '3035560', '3039178', '2839704', '271968', '6310545', '6330698', '2983090', '3009852']"
3039178,"['6272282', '3003384', '6310508', '6324200', '6093054']"
6275104,['59925']
2578578,"['6275104', '6183443']"
2555559,"['2555569', '6275104', '6287457', '6296450', '6323749', '2578578', '2985829', '3009894', '3021972', '3031587', '3033278', '3035560', '3039165', '3041041', '2845133', '2845152']"
2457118,"['6275104', '2578578', '3033278']"
2536823,"['6287227', '3010307', '3023668']"
2476574,"['6275104', '2457118', '2578578']"
163918,['4349491']
73185,['4343967']
6159641,"['73185', '414220', '291033']"
7022155,"['215997', '224211', '229266', '81487']"
6287227,"['1105573', '274720', '358198', '284385', '6166921', '787929']"
6300437,['7022155']
287063,['271968']
6340110,"['370836', '271968', '388356']"
6575390,['271968']
3156376,"['149110', '6371808']"
3951988,['271968']
6812046,"['345243', '204910', '6273878']"
2582352,"['345243', '204910', '6273878', '6812046', '6183277', '6754749', '6191328']"
3889841,"['271968', '209457', '388356', '6269067']"
3748808,"['345243', '6273878', '6191328', '2582352', '2582358', '4000941', '4000959', '4011448']"
3774550,"['6191328', '4000941', '4000959', '4011448', '2582352']"
3588303,['271968']
3267215,"['271968', '6340110', '6326095']"
6289302,"['284385', '291033']"
6262809,['118436']
6457158,['284385']
6172778,['6791161']
6278410,['6259625']
6174938,['6262809']
7099970,['6801656']
6292491,['787937']
6184674,"['6278410', '6174938', '6801656']"
4594039,"['4343968', '4343974']"
183379,"['168574', '4349491']"
198578,"['4343959', '4349491', '183379']"
149110,"['4594039', '818638', '1094460', '242001', '4216019', '4343974', '4530273']"
209219,['198578']
228055,"['209219', '198578']"
6244590,['168574']
6246534,['168574']
6255202,"['183379', '198578', '209219', '228055']"
6165834,"['198578', '414220', '209219', '228055']"
6264141,"['6246534', '6244590']"
6281461,"['414220', '228055', '6165834']"
6323757,"['229266', '6245254', '6255181', '6267593', '6283162', '6287457', '6294604', '6296450']"
6296450,"['224211', '7022155']"
6246507,['1105573']
6262735,['6154927']
6269091,"['418414', '283395', '390497']"
6170981,['284385']
6272299,"['1105573', '270678', '73185', '414220', '271968', '388425', '358198']"
6946474,"['206891', '390497', '6933441']"
6170983,['787937']
6950381,"['1105573', '414220', '388425']"
6951161,"['1105573', '388425', '6166921']"
6176944,"['1105573', '59925', '414220', '358198', '91164', '6154927', '6166921']"
7043459,['1105573']
6285305,"['6934509', '6938980']"
10872328,['390497']
11894934,['787937']
6126875,['6159641']
6296767,"['271968', '283395', '6269091']"
6897567,"['1105573', '6166921', '7301588']"
6985486,"['787937', '333431', '418414']"
6961406,"['414220', '6158735', '6166921']"
6298749,['6166921']
6572397,"['787937', '283395']"
6188104,"['291033', '390497', '6262811', '6166921', '6170983', '6180381']"
6300842,['390497']
6188151,"['388356', '158748']"
6300847,"['1103146', '271968', '291033', '6259625', '6287227']"
6572965,"['6269067', '6272299', '73185', '291033', '6159641']"
6220408,"['284385', '291033', '388356', '388425', '6950381']"
6304626,"['418414', '281713', '291033', '390497', '6159641', '6275357']"
6190133,"['6166921', '6269067', '6287424']"
6304641,['6159641']
6304644,['390497']
6856469,"['6259625', '7012793', '6264471', '6946474']"
7443547,"['787937', '418414']"
6934509,"['271968', '418414', '283395']"
6164057,['390497']
6306584,"['1105573', '6269067']"
6575389,"['271968', '6259625', '6801656']"
6306654,['787937']
6192430,"['73185', '6159641', '6287227', '6126875']"
6192439,"['271968', '6167988', '6171778', '6275391']"
6308656,"['6945577', '6296443']"
6127673,"['1105573', '6159641']"
6815656,"['6450418', '7301588']"
6294614,['6159641']
6574451,"['1105573', '271968', '291033', '6159641']"
6574503,"['1105573', '414220', '358198', '6166921']"
6866767,['271968']
388425,"['358198', '271968', '270678']"
6154927,"['271968', '81487']"
6354707,['6298749']
6315416,['390497']
6685625,"['6934509', '6259625', '271968']"
6283475,"['388425', '6166921', '7301588']"
6180381,"['6170983', '4610576', '1069307', '388356', '6159641', '6259625']"
6287424,"['390497', '283395']"
3889842,"['291033', '6812046', '6961411']"
228265,"['81487', '271968']"
6253931,"['229465', '231762']"
787929,"['4600264', '1090574']"
358198,"['19730', '270678', '1105573']"
206891,['19730']
787937,['242001']
6259625,"['333444', '271968']"
6298715,['6278410']
6166922,"['787937', '414220']"
6167987,"['6159641', '1105573', '59925', '291033']"
6946435,['6159641']
6275393,['6946435']
3004974,['6098465']
3023880,"['6278479', '6960240']"
3023918,"['6575390', '6326095', '6098465', '3004974']"
3038517,"['2998773', '3023918']"
2819862,"['3004974', '6933441', '6261002', '6270376']"
2826127,"['271968', '6098465', '3023918']"
6098465,"['6933441', '6262784']"
2998773,"['6933441', '6262784', '6264425', '6960240', '6098465']"
2437578,"['271968', '6326095', '4059056', '9279387']"
6086326,"['388356', '6268840']"
3456558,"['271968', '6091052']"
3083412,['271968']
3016727,"['271968', '3083412']"
14464244,['13641572']
14155025,['14464244']
14329472,['14464244']
6254364,"['5780700', '223612', '14155025']"
3023067,"['6166921', '7071022', '271968']"
6328023,['6283162']
6283162,['215997']
6092710,"['6283162', '6287457', '6321771', '6323757', '6328023', '6726891']"
6196781,"['274714', '281713']"
6260666,['5780700']
6260687,['5780700']
6300445,"['73185', '7022155']"
6309663,"['6254364', '6260666', '6260687']"
6985483,"['281713', '6164057']"
6185919,"['1105573', '388356', '6159641', '6170981']"
6573677,"['6938980', '6269091', '6272299']"
6308667,"['6247908', '6269067', '6272317', '787937']"
5664234,['5664235']
5664235,['5664234']
5499743,"['5664234', '5664235']"
4610576,"['4343968', '4343974', '4594039', '4600264']"
333431,"['4600264', '1103146']"
704357,"['274720', '73185']"
274720,['270684']
270684,"['4216019', '4594039', '1105573']"
781674,['4216019']
804696,['4343968']
4343974,['4343968']
4343967,['4343968']
4343959,['4343967']
242001,"['4610576', '4343974', '4343967', '4343959']"
768923,"['4600264', '4594039', '1090574']"
1058473,['4343974']
171627,"['10793753', '4343959', '4343967', '4343974', '4600264', '4610576']"
174077,['4343967']
4139703,['10793753']
1103090,"['1090574', '4343974']"
1060130,['4349491']
168574,['4343968']
1108020,"['4610576', '4343968', '4594039', '1094460']"
4360942,['4343967']
806078,"['4600264', '4610576', '4343968', '4216019', '4594039']"
177975,['1103090']
4343968,"['4343959', '4343967']"
1103146,"['4600264', '4610576', '4343968', '4216019', '4530273']"
1094460,['4594039']
818638,"['4600264', '4610576', '4594039', '4530273', '1090574', '4343968', '4343974', '4216019']"
4216019,"['4530273', '4600264']"
4373732,['4343968']
4349491,['4343959']
345245,"['1105573', '10793753']"
282616,['242001']
6183277,"['291033', '6273878', '6812046']"
6754749,"['6812046', '6183277']"
6961411,"['6273878', '6812046']"
6641717,"['345243', '6273878', '204910']"
6328421,"['291033', '6191328', '6641717', '6273878']"
3889848,"['6273878', '6191328', '6641717', '6366740', '6328421', '6374657', '2582358']"
6344792,"['1105573', '357286', '383697', '7016033']"
6092433,"['388356', '6159641', '6273878']"
3980693,"['6191328', '6639017', '6360046', '6328421', '6374657', '1105573']"
6207485,"['6272282', '6287457', '6310508', '6310545', '6641721', '6324120', '6726891']"
6840847,['388356']
6352495,"['357286', '388356', '6341230', '6352496']"
6352496,"['271968', '357286', '284385', '383697', '6259625', '6352495']"
6361057,"['383697', '6341230']"
6256762,['414220']
6272317,"['281713', '291033', '6247908']"
6866765,"['209219', '291033']"
6247908,['1060130']
6282118,"['281713', '6247908']"
6292836,"['390496', '118436', '7008030', '6258158', '7024907', '7335496']"
6304630,"['118436', '6258158', '7335496', '7048256', '6292836']"
6998963,['383697']
7232206,"['1105573', '158748']"
3988703,"['271968', '388356', '7012838']"
4030087,"['3988703', '7107852', '6341230', '6639017']"
6283172,"['198578', '149110', '209219', '6283173']"
6283173,"['198578', '209219', '6283172']"
6306648,"['6283172', '6283173', '6287019', '209219']"
6308672,"['6283173', '6287019', '6306648']"
6350355,"['1105573', '291033', '6259625']"
6194174,['6178693']
6178693,['183379']
6088574,"['183379', '6194174', '6178693']"
6286998,"['787937', '388356']"
345243,"['198749', '781674']"
204910,"['19730', '198749']"
6622259,"['291033', '6961411']"
6264484,"['1105573', '6246507']"
6757867,"['271968', '345243', '204910', '6273878']"
6366740,"['345243', '204910', '6575390', '6191328']"
4000959,"['271968', '6622259']"
4011448,"['6191328', '6622259', '6366740']"
4059056,"['1105573', '73185', '291033', '388356', '6159641', '7071022', '6091052']"
2939103,"['4000941', '6273878', '6191328', '6374657', '2582352', '2582358']"
6752026,['388356']
3002985,['388356']
2999787,"['271968', '287063', '6264114', '6575390']"
6264114,"['4610576', '291033', '388356']"
6330697,"['271968', '6264141', '7301588', '7099970', '6575390']"
2985801,['6330697']
2999435,"['2985801', '7099970', '6330697']"
6343243,"['383697', '388356', '6995426']"
6350346,['388356']
6352491,"['383697', '6761360', '6341230']"
6376355,"['6998963', '7017718', '6341230']"
6540277,['6341230']
6381522,"['6350346', '6352491', '6352495', '6352496', '6341230']"
3880723,['6540277']
3882570,"['6376355', '6352495', '6352496']"
3905848,"['6540277', '6381522']"
6328032,"['291033', '388356']"
3973975,"['388356', '6159641', '6325492', '6328032']"
2999189,"['3973975', '388356', '6328032']"
410021,"['4600264', '781674', '4216019']"
281713,['274714']
274714,"['59925', '177975']"
218170,['414220']
414220,"['412196', '4594039', '1105573']"
789912,['10793753']
357286,"['4610576', '1108020']"
383697,['4594039']
7017718,"['787937', '383697']"
7251142,"['1105573', '357286', '383697', '6998963', '7017718']"
6930643,['414220']
6328411,['11894934']
7016033,['388356']
6273385,['291033']
7107846,['388356']
6403468,['7107846']
6660856,"['1105573', '149110', '6801018']"
6089656,"['6256764', '7181492']"
2984981,"['291033', '6660856']"
2990324,['291033']
2994555,"['149110', '6801018', '6541662']"
3876073,['388356']
2994558,"['1105573', '291033']"
2994560,"['1105573', '7181492']"
3937729,['271968']
3879658,['291033']
6801018,"['291033', '388356']"
7181492,"['1105573', '177975', '388356']"
6258018,"['291033', '787937', '414220']"
3700617,"['6833179', '6350355', '6639017', '6360046', '6361057', '6325492', '3980693', '6960359']"
6833179,"['1103090', '388356']"
6541662,"['291033', '6961411']"
6341230,"['6998963', '271968', '383697']"
3539983,"['383697', '158748', '6341230', '6352491', '6540277']"
6304336,['271968']
3902895,"['6273878', '6754749']"
198749,['781674']
6254016,"['345245', '281713']"
6995426,['4610576']
7012838,['1105573']
6408005,"['149110', '360212']"
6314334,"['6801653', '6795624']"
6158735,"['91164', '291033', '414220', '218170']"
6795624,['291033']
6801653,['6159641']
7071022,"['414220', '91164', '291033', '6159641']"
6190136,"['333444', '284385', '6159641']"
3459146,"['6371808', '3156376']"
3031593,"['6091052', '3903658', '3010240', '3010307', '3459146', '388356']"
3031606,"['149110', '6371808', '6091052', '3156376']"
7443532,['6251266']
6264429,"['787937', '6251266']"
6292465,"['6251266', '6264429']"
6574450,"['388356', '6251266', '7443532', '6264429']"
6251266,"['787937', '284385']"
3562247,"['3748808', '4011448', '4000959']"
6185921,"['218170', '388356', '7071022']"
2426657,"['6191328', '6622259', '6273878']"
1069307,['242001']
4600264,"['4343968', '4343974', '4594039']"
4530273,['4594039']
1090574,"['4610576', '4343968', '4594039']"
6154930,['59925']
7029468,['73185']
6253883,['271968']
6164798,"['271968', '6253883']"
6296764,"['1105573', '271968', '6253883', '6259625', '7301588', '6287021']"
6304692,"['271968', '6259625', '6164798', '7301588', '6287021', '6296764']"
6193288,"['6253883', '6164798']"
6312090,"['271968', '6259625', '6941270', '6296764', '6304692']"
6961439,"['414220', '271968', '388356', '6259625', '6272197', '7301588']"
6306269,"['7029468', '6296764', '6961439', '6300836']"
6310157,['6304692']
6312421,"['388356', '7301588', '6296764', '6961439', '6300836']"
6304629,"['1105573', '73185', '271968', '6259625', '6269067', '7071022', '6287021', '6287022', '6296764', '6300836']"
6308556,"['7071022', '6300836', '1105573', '73185', '271968', '6986610']"
3018280,"['6326095', '6726891', '6089122', '6384934', '2984684', '2985793', '2986127', '2987518', '2987843', '7022155', '6272282', '6310601']"
2433467,"['2984684', '6310601', '6208377', '2985793', '2986127', '2999190']"
2983123,"['6300437', '6310601']"
2999190,"['6310601', '6325492', '6097599', '2983123', '2984684', '2985793', '2986127']"
6294322,"['1105573', '6269067']"
6310521,"['7301588', '787937', '6159641', '6166921', '6268840', '6269067']"
283395,"['274720', '418414', '787937']"
6801656,['271968']
6641721,"['271968', '229465', '7301588', '6272282']"
6316273,"['149110', '7008030', '6258158', '7024907', '7335496', '6292836']"
230501,['73185']
7008030,"['1090574', '390496']"
7312622,"['787937', '73185', '206891', '7433112']"
6694902,['6986610']
6328426,"['6316273', '6304630', '6292836', '6258158', '7335496']"
6208380,"['6272282', '6283126', '6283138', '6284987', '6183443', '6188863', '6308670', '6310508', '6310545']"
2993868,"['19730', '271968', '209219', '6259625', '6283172', '6283173', '6287019', '6306648', '6308672']"
6621535,"['7008030', '6258158', '7312622']"
11894957,['388356']
3890739,"['6302077', '291033', '11894957', '6324204']"
6302077,"['4594039', '7012838']"
6324204,"['11894957', '7012838', '6302077']"
4327583,['13664869']
6302312,"['6264130', '7301588']"
91164,['414220']
6100966,"['73185', '414220', '206891', '225559', '390497']"
9279398,"['414220', '206891', '284385', '225559', '91164', '7017722', '6100966']"
6281465,"['271968', '6100966']"
7086954,"['271968', '81487']"
6270376,"['226954', '6933441', '6261002', '6264425']"
6328442,"['6985479', '7301588', '6310508', '6694911']"
6092936,"['6328442', '1105573', '7301588']"
6096850,"['7017722', '6281760', '6694911', '6100966', '7301588']"
2984214,"['6268840', '6272282']"
2985814,"['6264121', '6283140', '6954488']"
3932972,"['6326095', '6371808', '6091052', '271968', '6934509', '6165016', '6166921', '6961439', '6312421']"
274713,['270678']
7433112,['390496']
6278479,['225559']
6296443,"['6261017', '6262784', '6264425', '7301588', '4373732', '209457']"
6131378,"['6933441', '6159641', '781674', '19730', '73185', '283395', '291033', '390497', '6166922']"
6188107,"['6262811', '291033', '390497']"
6855772,['6131378']
6308636,"['6131378', '9279398']"
6493227,"['281713', '284385', '6159641', '6131378', '9279398']"
4040603,"['1105573', '73185', '6159641', '6278479', '6131378', '6188107', '6855772', '6308636', '6493227']"
3486414,"['6308636', '6493227', '4040603', '7017722', '6131378', '6188107']"
3458245,['6310545']
9279387,"['4610576', '6264114']"
3467351,"['6283117', '6324136', '6726891', '6384934', '6093056', '2983312', '2986127', '224211', '229266', '7022155']"
284328,"['19730', '206891']"
287003,['73185']
226954,"['209408', '206891']"
513205,"['287003', '73185']"
209408,['4373732']
693324,['274720']
6935652,"['1105573', '787937', '358198']"
6450418,"['333444', '271968', '418414', '283395']"
6261017,"['4373732', '271968', '206891', '283395']"
7012793,"['6934509', '787937', '388425']"
7232211,['6245254']
418414,['410021']
6244566,"['1103146', '787937', '271968']"
6262722,"['283395', '6253880']"
6262733,"['7443547', '1105573']"
6985479,"['271968', '283395']"
6264130,"['781674', '270678', '271968', '7443547', '424286']"
6264425,"['206891', '226954']"
6941270,"['6935652', '229266']"
6265915,"['59925', '388425']"
6265927,['7003539']
6253880,"['1103146', '283395']"
7433108,['19730']
6254069,"['787937', '388356']"
6264143,"['229266', '6251263']"
6247501,['231762']
6257918,"['231762', '6244553', '6245254']"
6278413,['6259625']
6549293,"['6641721', '73185', '271968', '6159641', '7301588']"
2997483,"['225559', '6330698', '6091052', '6093056', '2983312']"
6896577,['1105573']
6808466,['6269077']
7048256,"['390496', '7008030']"
7048258,"['7003539', '6265927']"
7048316,"['19730', '388356', '6269077']"
